2000,2000,2000,0.015398,1039.076080
3000,3000,3000,0.043863,1231.117170
4000,4000,4000,0.098841,1295.013231
5000,5000,5000,0.188573,1325.745248
6000,6000,6000,0.321171,1345.076570
7000,7000,7000,0.499944,1372.153673
8000,8000,8000,0.740822,1382.247972
9000,9000,9000,1.057539,1378.673029
10000,10000,10000,1.433893,1394.804038
11000,11000,11000,1.880971,1415.226178
12000,12000,12000,2.463914,1402.646376
13000,13000,13000,3.144720,1397.262660
14000,14000,14000,3.893146,1409.657025
15000,15000,15000,4.875856,1384.372381
16000,16000,16000,5.890608,1390.688337
17000,17000,17000,6.979363,1407.864809
18000,18000,18000,8.320138,1401.899831
19000,19000,19000,9.794361,1400.601885
20000,20000,20000,11.350640,1409.612174
