2000,2000,2000,0.027006,592.469030
3000,3000,3000,0.080938,667.176571
4000,4000,4000,0.181488,705.279671
5000,5000,5000,0.352858,708.499392
6000,6000,6000,0.593381,728.031711
7000,7000,7000,0.923130,743.123712
8000,8000,8000,1.393692,734.739047
9000,9000,9000,1.965610,741.754639
10000,10000,10000,2.697536,741.417468
11000,11000,11000,3.575301,744.552734
12000,12000,12000,4.738029,729.417233
13000,13000,13000,5.986102,734.033574
14000,14000,14000,7.337476,747.941076
15000,15000,15000,9.195309,734.069946
16000,16000,16000,11.165694,733.675841
17000,17000,17000,13.292264,739.226987
18000,18000,18000,15.709337,742.488353
19000,19000,19000,18.484102,742.151274
20000,20000,20000,21.603153,740.632617
