2000,2000,2000,0.026661,600.117983
3000,3000,3000,0.081838,659.839051
4000,4000,4000,0.181819,703.995024
5000,5000,5000,0.352123,709.978395
6000,6000,6000,0.592935,728.579367
7000,7000,7000,0.922695,743.474298
8000,8000,8000,1.391063,736.127671
9000,9000,9000,1.959189,744.185604
10000,10000,10000,2.696675,741.653988
11000,11000,11000,3.603087,738.810828
12000,12000,12000,4.716308,732.776597
13000,13000,13000,5.988091,733.789829
14000,14000,14000,7.320313,749.694762
15000,15000,15000,9.196394,733.983324
16000,16000,16000,11.251700,728.067788
17000,17000,17000,13.305493,738.491976
18000,18000,18000,15.779388,739.192162
19000,19000,19000,18.510529,741.091739
20000,20000,20000,21.516230,743.624703
