2000,2000,2000,0.015177,1054.235682
3000,3000,3000,0.043206,1249.815132
4000,4000,4000,0.098108,1304.688796
5000,5000,5000,0.189726,1317.689804
6000,6000,6000,0.320254,1348.927544
7000,7000,7000,0.502488,1365.207269
8000,8000,8000,0.735547,1392.161494
9000,9000,9000,1.045022,1395.186506
10000,10000,10000,1.443344,1385.670727
11000,11000,11000,1.900268,1400.855359
12000,12000,12000,2.475273,1396.209547
13000,13000,13000,3.169973,1386.131469
14000,14000,14000,3.919421,1400.206988
15000,15000,15000,4.877537,1383.895197
16000,16000,16000,5.911164,1385.852237
17000,17000,17000,7.051726,1393.417778
18000,18000,18000,8.252458,1413.397023
19000,19000,19000,9.789299,1401.326131
20000,20000,20000,11.345584,1410.240326
