2000,2000,2000,0.023278,687.329569
3000,3000,3000,0.073099,738.728451
4000,4000,4000,0.163397,783.365834
5000,5000,5000,0.326296,766.174699
6000,6000,6000,0.543781,794.437953
7000,7000,7000,0.878855,780.561239
8000,8000,8000,1.287815,795.145172
9000,9000,9000,1.828678,797.297462
10000,10000,10000,2.512382,796.057408
11000,11000,11000,3.345251,795.754975
12000,12000,12000,4.399653,785.516454
13000,13000,13000,5.539761,793.174997
14000,14000,14000,6.924832,792.510258
15000,15000,15000,8.507119,793.453103
16000,16000,16000,10.337928,792.421870
17000,17000,17000,12.581980,780.958157
18000,18000,18000,14.610529,798.328378
19000,19000,19000,17.269808,794.334265
20000,20000,20000,20.159643,793.664836
