2000,2000,2000,0.023926,668.741465
3000,3000,3000,0.073150,738.213529
4000,4000,4000,0.162391,788.219076
5000,5000,5000,0.324048,771.489874
6000,6000,6000,0.537417,803.844411
7000,7000,7000,0.863345,794.583752
8000,8000,8000,1.275836,802.610937
9000,9000,9000,1.795740,811.921708
10000,10000,10000,2.478182,807.043264
11000,11000,11000,3.291343,808.788398
12000,12000,12000,4.291610,805.292273
13000,13000,13000,5.431689,808.956497
14000,14000,14000,6.844894,801.765549
15000,15000,15000,8.412430,802.384059
16000,16000,16000,10.217142,801.789761
17000,17000,17000,12.228717,803.518501
18000,18000,18000,14.538099,802.305726
19000,19000,19000,17.088798,802.748092
20000,20000,20000,19.829449,806.880720
